Location,nSwing,nTotal,Swing,Take,Pitch Type
Fastball:,,,,,
Heart,"1,432,557.00","1,993,185.00",0.719,0.281,Fastball
Shadow,"1,543,396.00","3,108,871.00",0.496,0.504,Fastball
Chase,"278,415.00","1,486,761.00",0.187,0.813,Fastball
Waste,"13,478.00","456,839.00",0.03,0.97,Fastball
Breaking:,,,,,
Heart,"496,567.00","745,949.00",0.666,0.334,Breaking
Shadow,"656,027.00","1,235,064.00",0.531,0.469,Breaking
Chase,"221,617.00","752,298.00",0.295,0.705,Breaking
Waste,"36,555.00","379,920.00",0.096,0.904,Breaking
Offspeed:,,,,,
Heart,"218,803.00","275,939.00",0.793,0.207,Offspeed
Shadow,"377,566.00","589,065.00",0.641,0.359,Offspeed
Chase,"118,387.00","383,213.00",0.309,0.691,Offspeed
Waste,"9,032.00","160,757.00",0.056,0.944,Offspeed
